已有数据: 14 条

============================================================
Round 1/6 | 并行生成 11 组查询...
  Prompt 5: 25 条
  Prompt 1: 25 条
  Prompt 8: 25 条
  Prompt 6: 25 条
  Prompt 7: 25 条
  Prompt 4: 25 条
  Prompt 2: 25 条
  Prompt 3: 25 条
  Prompt 9: 25 条
  Prompt 10: 25 条
  Prompt 11: 25 条
  本轮共 275 条待标注，还需 1386 条
  ✓ [15] rag_query            | 想申请开通凌霄管理后台的查看权限，需要直属领导审批还是直接找IT？
  ✓ [133] escalate             | 数据中台的实时报表查看权限还没生效，早会汇报急需使用，请立刻核实开通进...
  ✓ [134] direct_answer        | 一楼访客接待大厅在东侧还是西侧？
  ✓ [135] rag_query            | 请客吃饭的业务招待费报销，发票类目必须开具什么名称，人均超过公司标准怎...
  ✓ [136] rag_query            | 4月份的那场新人通识课如果错过了，钉钉云盘里多久开放录播回放权限？
  ✓ [137] direct_answer        | 钉钉日历显示我和北京、伦敦两个团队有视频会议，但系统自动按东八区排期导...
  ✓ [138] rag_query            | 员工体检预约
  ✓ [139] rag_query            | 下午四点提前下班去接孩子，早退扣薪是按分钟计算还是按半小时起步？
  ✓ [140] escalate             | 气死了！我垫付的5月18日团队差旅高铁票被智能审核直接退回，说发票二维...
  ✓ [141] rag_query            | 如何申请开通阿里云账号的RAM子账号读写权限？
  ✓ [142] rag_query            | 去北京参加展会的高铁票和酒店标准是按总监级别还是普通员工标准执行？
  ✓ [143] direct_answer        | 报销打款进度
  ✓ [144] rag_query            | 申请访问内部知识库的跨部门共享目录，需要填写哪些审批表单？
  ✓ [145] rag_query            | 新人入职集中培训一般安排在周几，是必须去线下会议室签到还是支持在钉钉直...
  ✓ [146] rag_query            | 实习生统一安排在B区9层北侧对吗？
  ✓ [147] rag_query            | 公司认可的入职体检报告，除了常规项目外是否必须包含特定传染病筛查项目？
  ✓ [148] rag_query            | 新员工入职当月钉钉后台的年假额度显示为多少？
  ✓ [149] rag_query            | 我们部门下月底搞团建，五千块的预算是走钉钉审批还是直接走对公转账？另外...
  ✓ [150] direct_answer        | 我刚入职还没领到门禁卡，能不能先帮我重置钉钉登录密码并开通临时访客网络...
  ✓ [151] direct_answer        | 研发部3楼的访客WiFi密码是多少？
  ✓ [152] multi_intent_split   | 调休余额咋查啊顺便教下咋在夸克企业版搜内部wiki
  ✓ [153] rag_query            | 新人转正考核如果不通过，公司制度里关于延长试用期的具体规定和审批条件是...
  ✓ [154] rag_query            | 新人入职指引文档在哪看啊
  ✓ [155] rag_query            | 我4月8号那天调休了一整天，考勤报表里的缺勤时长怎么手动备注说明？
  ✓ [156] escalate             | 紧急！我垫付的4月30日客户紧急救援专车费用2000元被智能审核以“非...
  ✓ [157] rag_query            | 账号锁定后除了等待自动解锁，有没有自助重置密码的快速通道？
  ✓ [158] rag_query            | 下个月20号的半天事假，钉钉审批流走到直属领导那里一般多久会批复？
  ✓ [159] rag_query            | 试用期内的社保公积金缴纳基数，是按照转正后的全额薪资来核定，还是按试用...
  ✓ [160] multi_intent_split   | 我上个月累计加班了十八个小时，调休是优先抵扣还是直接算加班费？另外这周...
  ✓ [161] rag_query            | 周末加班满十二小时后，调休折算比例是比一比一点五还是实报实销？
  ✓ [162] escalate             | 我于5月5日提交的阿里云国际版API调用测试费用报销单（金额1280美...
  ✓ [163] rag_query            | 去年底的年假还没休完，今年三月前不用的话就自动清零了对吧？有没有什么特...
  ✓ [164] rag_query            | 我和同事去武汉出差，双人合住一间房的报销上限是按单人标准乘以二吗？
  ✓ [165] rag_query            | 我的阿里云盘企业版容量已满，能提交工单申请扩容吗，另外旧台式机里的项目...
  ✓ [166] escalate             | 夸克文档协作平台在4月15日14:30发生大规模版本冲突，导致研发部1...
  ✓ [167] rag_query            | 加班餐补发放
  ✓ [168] multi_intent_split   | 今晚九点以后还在赶版本上线，钉钉打卡能手动补录吗？另外超过十点的晚餐补...
  ✓ [169] multi_intent_split   | 年度员工体检预约链接打不开，是换到阿里健康APP里了吗？另外体检当天如...
  ✓ [170] rag_query            | 去年结转的年假使用截止日期是几月几号？
  ✓ [171] rag_query            | 出差的时候市内打车报销最高能报多少啊，是看城市级别还是统一按票面金额？
  ✓ [172] rag_query            | 下周三的新员工入职培训大概持续多长时间，需要自带笔记本电脑吗？
  ✓ [173] multi_intent_split   | 公司现在关于远程办公的制度是不是又改了？我刚在夸克上查到的和HR说的不...
  ✓ [174] multi_intent_split   | 我下周三要调休陪家人体检，同时我的阿里云效开发环境突然登不进去了，这两...
  ✓ [175] rag_query            | 公司配发的笔记本电脑允许员工自行加装固态硬盘吗，万一拆机导致硬件故障是...
  ✓ [176] multi_intent_split   | 最近钉钉的审批流老是转圈圈，卡在李总那里三天了，能催一下或者走备用流程...
  ✓ [177] rag_query            | 我刚拿到offer，请问报到当天除了带身份证和学历证明，还需要在钉钉上...
  ✓ [178] rag_query            | 听说年假可以累积两年，那如果我从基层晋升到主管，之前的剩余年假天数会重...
  ✓ [179] rag_query            | 从深圳去北京出差的跨城交通补贴是按高铁票根算还是包干制？另外如果临时改...
  ✓ [180] rag_query            | 我4月29号因为堵车迟到了二十分钟，需要在钉钉里补卡几次呀？
  ✓ [181] rag_query            | 10月20号提交的团队差旅报销单，财务那边一直显示待核验，能不能告诉我...
  ✓ [182] rag_query            | 丢失的300元定额发票怎么在财务系统里走特批报销流程？
  ✓ [183] escalate             | 钉钉内网连不上了咋整啊急死个人
  ✓ [184] multi_intent_split   | 下周三在杭州园区的AI培训怎么报名？参加完的差旅补贴是按每天一百五发还...
  ✓ [185] rag_query            | 法定节假日安排值班，公司是按照法定倍数发放加班费还是强制要求安排等时长...
  ✓ [186] rag_query            | 档案和党组织关系转接的抬头写哪个单位名称，寄到公司前台还是直接走线上系...
  ✓ [187] rag_query            | 怎么给外部合作伙伴开通内部文档的只读权限？
  ✓ [188] rag_query            | 婚假和年假能连着休吗，另外婚假期间的基本工资和绩效怎么发放？
  ✓ [189] escalate             | 我下周三要去深圳出差，钉钉上的差旅申请流程走到哪一步了？
  ✓ [190] rag_query            | 请明确说明跨月调休的审批流转节点以及是否需要附加业务主管的签字证明。
  ✓ [191] rag_query            | 审批流卡在中间环节一直显示待处理，这种情况我是该催直属领导还是可以直接...
  ✓ [192] rag_query            | 去成都出差的酒店协议价是在钉钉商旅平台还是阿里出行模块上订？另外往返高...
  ✓ [193] rag_query            | 我工位旁边的空调一直滴水弄湿了主机，请问行政报修流程怎么走？
  ✓ [194] multi_intent_split   | 我年假余额明明还有五天，为什么钉钉显示冻结了？能帮我重置一下吗？顺便把...
  ✓ [195] multi_intent_split   | 我下周要接待外部审计团队，申请开通访客临时通行码的同时，能帮我把这个月...
  ✓ [196] rag_query            | 我5月1号正式转正，五险一金的缴纳基数是按当月工资重新核定吗？
  ✓ [197] rag_query            | 申请访问阿里云核心生产数据库的只读权限，需要经过哪些层级的安全审批？
  ✓ [198] multi_intent_split   | 我要从上海分公司调去杭州总部，通义账号的权限会自动迁移吗？另外交接期间...
  ✓ [199] multi_intent_split   | 我准备提离职流程，社保公积金的减员大概在几号生效？另外公司配发的笔记本...
  ✓ [200] rag_query            | 根据最新政策，员工去海外分公司出差，当地打车费用和餐补是实报实销还是统...
  ✓ [201] multi_intent_split   | 我在通义听悟上传的周会录音里混入了外部供应商的报价信息，系统提示涉密，...
  ✓ [202] rag_query            | 出差期间如何使用钉钉自带的网络助手安全连接公司虚拟专线？
  ✓ [203] escalate             | 灵犀邮件提示存储空间已满无法收发，业务沟通已经中断，请求紧急扩容或清理...
  ✓ [204] rag_query            | 我上个月25号垫付了八百块的客户招待费，发票抬头写个人行不行？
  ✓ [205] rag_query            | 医保卡线上激活流程发一下呗
  ✓ [206] rag_query            | 员工自驾去西安拜访客户，每公里的油费补贴和过路费报销标准是多少？
  ✓ [207] rag_query            | 新员工领取阿里云盘初始密码找谁？
  ✓ [208] rag_query            | 钉钉企业邮箱怎么绑定桌面客户端呢
  ✓ [209] escalate             | 内部开发机连续三天无法访问星码代码托管平台，云枢运维群反馈是网络隔离策...
  ✓ [210] multi_intent_split   | 我下周要去杭州参加展会，差旅申请怎么提？另外那笔三千块的垫付打车费能在...
  ✓ [211] multi_intent_split   | 报销单卡在审批流了咋弄啊顺便发下差旅补贴标准
  ✓ [212] direct_answer        | 市场部公共打印机具体在走廊哪个位置？
  ✓ [213] multi_intent_split   | 我的钉钉云桌面一直卡在登录界面进不去，顺便帮我查查去北京出差的高铁票能...
  ✓ [214] multi_intent_split   | 这次去广州出差的住宿发票弄丢了，能联系前台补开电子档吗，另外每日餐补是...
  ✓ [215] rag_query            | 去上海出差的酒店报销标准是每晚多少元？
  ✓ [216] rag_query            | 我明天一早就要飞重庆，钉钉上的差旅申请还没批下来，这种情况能直接买票先...
  ✓ [217] escalate             | 我是海外业务拓展经理赵志刚，因当地网络管制无法使用常规钉钉审批链路，需...
  ✓ [218] rag_query            | 李四离职后，他之前负责维护的通义千问API调用权限能直接转移给我吗？
  ✓ [219] escalate             | 我已经连续两周被星轨考勤系统误判为早退，每次都是9点58分打卡，系统非...
  ✓ [220] rag_query            | 上周加班申请忘提了能补嘛今天截止急等
  ✓ [221] multi_intent_split   | 请问怎么申请通义千问企业版的API调用权限？还有我上个月垫付的服务器扩...
  ✓ [222] rag_query            | 宜搭里怎么加自定义字段啊
  ✓ [223] rag_query            | 如何把手机钉钉上的灵犀邮件设置成自动回复假期通知？
  ✓ [224] escalate             | 员工李娜于3月28日因极端天气申请弹性打卡，钉钉考勤规则已生效，但月末...
  ✓ [225] rag_query            | 标准上班打卡时间是早上九点整吗？
  ✓ [226] escalate             | 为什么我的项目奖金被平摊到了三个不同部门？我是独立负责夸克浏览器插件开...
  ✓ [227] multi_intent_split   | 员工手册里关于竞业协议的条款是不是有歧义？另外新员工入职培训是线上看视...
  ✓ [228] direct_answer        | 阿里云OSS bucket权限咋配老报403啊
  ✓ [229] multi_intent_split   | 我打算下周五休年假，麻烦帮我提前把阿里云ECS的访问IP白名单加一下，...
  ✓ [230] multi_intent_split   | 打印机驱动装了三次还是打不出A3纸，这外设是不是该报废了？顺便问下，如...
  ✓ [231] rag_query            | 查一下我的钉钉年假余额还剩几天？
  ✓ [232] escalate             | 我在钉钉上申请了“星轨计划”的阿里云子账号权限，但下周三前必须完成数据...
  ✓ [233] multi_intent_split   | 我签的劳动合同副本放哪儿了？另外我在钉钉人事档案里发现紧急联系人还没更...
  ✓ [234] multi_intent_split   | 试用期公积金扣款比例是百分之五还是百分之十二，怎么在钉钉里查看明细？
  ✓ [235] direct_answer        | 钉钉文档转PDF咋操作顺便教下咋设置只读权限
  ✓ [236] multi_intent_split   | 季度绩效面谈的时间定在几号？我钉钉上的绩效系统怎么显示“未归档”，是流...
  ✓ [237] rag_query            | 实习生林小雨今天突然离职，但她名下的阿里云测试实例还在按量计费，怎么在...
  ✓ [238] escalate             | 我是新入职市场部的实习生王雪，本月发薪日已过却未收到任何到账通知，工资...
  ✓ [239] escalate             | 夸克企业盘里那个“Q3产品路线图”文档被误删了，同时我想开启回收站的二...
  ✓ [240] multi_intent_split   | 这个项目在夸克云盘里的预算明细能导出表格吗？另外那笔五千块的服务器采购...
  ✓ [241] rag_query            | 请问4月10号入职的新同事，办公座位是系统自动分配还是找部门主管协调？
  ✓ [242] rag_query            | 出差期间设备不在身边，能否通过人脸识别自助解除账号锁定状态？
  ✓ [243] rag_query            | 电脑连不上内网怎么在钉钉一键报修？
  ✓ [244] multi_intent_split   | 张明下个月15号到20号想请年假陪家人，这期间的考勤会自动豁免吗？还有...
  ✓ [245] rag_query            | 年假折算规则
  ✓ [246] multi_intent_split   | 报销发票抬头填错咋撤回重提啊顺便问下碎纸机搁哪层了
  ✓ [247] escalate             | 今天必须通过内网访问归档系统下载合同附件，但一直提示无权限，麻烦加急开...
  ✓ [248] multi_intent_split   | 公司内部调岗的薪资调整机制到底怎么算的？顺便帮我确认下，新入职的管培生...
  ✓ [249] rag_query            | 工牌丢失补办申请提交后，行政那边通常几个工作日能制好新卡？
  ✓ [250] direct_answer        | 我需要为部门新成员统一开通通义听悟的试用权限，该怎么提交工单？
  ✓ [251] multi_intent_split   | 能查一下我本月差旅额度还剩多少吗？另外帮我预定明天下午三点的A栋302...
  ✓ [252] escalate             | 关于单号FN20240510-003的服务器租赁续费申请被系统以“预算...
  ✓ [253] rag_query            | 我刚从市场部调到云架构部，除了更新灵雀系统里的汇报线，旧部门的钉钉群和...
  ✓ [254] rag_query            | 我去年是七月份中途入职的，今年的年假天数到底是怎么折算的，能直接给个计...
  ✓ [255] multi_intent_split   | 试用期考核是不是必须满三个月才能转正？另外新员工的钉钉企业邮箱密码初始...
  ✓ [256] rag_query            | 咱们现在弹性打卡最晚能到几点？
  ✓ [257] rag_query            | 根据最新版员工手册，试用期员工参加阿里云专业认证考试的费用报销上限是多...
  ✓ [258] escalate             | 为什么我的海外服务器SSH访问申请又被云盾安全系统自动拦截了？我上周明...
  ✓ [259] escalate             | 银河VPN突然无法连接外网了，客户演示马上要用，请立刻帮我排查网络状态...
  ✓ [260] rag_query            | 老员工返岗重新办理入职，体检报告有效期是半年以内吗？
  ✓ [261] rag_query            | 系统里我的年假核算周期是从几月几号到几月几号？
  ✓ [262] rag_query            | 已经通过钉钉审批的差旅报销单，大概需要几个工作日才能打款到工资卡？
  ✓ [263] rag_query            | 今晚临时接到通知去郑州出差，附近协议酒店全满只能住四星级，这种超标住宿...
  ✓ [264] multi_intent_split   | 我笔记本的阿里云盘同步一直报错，IT能不能派人来看下？顺便问一下，我今...
  ✓ [265] rag_query            | 跨楼层调岗后，新座位的排布方案会在阿里内网哪个板块公示？
  ✓ [266] escalate             | 华南区销售总监刘洋4月20日参加阿里云栖大会，钉钉外勤签到定位正常，但...
  ✓ [267] rag_query            | 因台风天气导致原定高铁取消，临时改乘专车产生的费用超过标准额度20%，...
  ✓ [268] escalate             | 我是数据中心运维部的高级工程师赵明，本月工资条显示绩效奖金环比下降40...
  ✓ [269] rag_query            | 实习生默认考勤班次是几点到几点？
  ✓ [270] multi_intent_split   | 钉钉打卡定位一直飘到隔壁园区，这GPS模块是坏了还是算法抽风？顺便问下...
  ✓ [271] rag_query            | 请问我下周五想请一天病假，在钉钉考勤模块里选哪个类型审批最快？
  ✓ [272] multi_intent_split   | 听说今年年终奖发放规则改了，是真的吗？还有实习生入职第一天需要带哪些材...
  ✓ [273] rag_query            | 跨城市差旅的交通补贴与餐饮补贴的每日发放上限及免票抵扣规则是什么？
  ✓ [274] rag_query            | 报销单被财务打回来了，说是附件格式不对，到底要传PDF还是原件扫描件？
  ✓ [275] rag_query            | 张三在瓴羊系统里的剩余年假能直接显示吗？
  ✓ [276] rag_query            | 关于本年度未使用的年假额度，根据公司规定是否可以顺延至下一自然年度继续...
  ✓ [277] direct_answer        | 考勤异常申诉入口
  ✓ [278] multi_intent_split   | 谁能给我解释下为什么灵犀审批系统里我看不到自己的报销进度？还有我申请的...
  ✓ [279] rag_query            | 4月22号到4月25号的年假申请，需要提前三个工作日还是五天走流程？
  ✓ [280] rag_query            | 我想报名下个月的数据分析师外部认证培训，费用是两万，能申请公司全额垫付...
  ✓ [281] escalate             | 张三说他的年假还剩三天，但系统里显示已过期，这该怎么处理？
  ✓ [282] rag_query            | 那个做周报的模板在哪下载来着？
  Round 1 结束 | 已有 282 条

============================================================
Round 2/6 | 并行生成 11 组查询...
  Prompt 2: 25 条
  Prompt 6: 25 条
  Prompt 8: 25 条
  Prompt 5: 25 条
  Prompt 4: 25 条
  Prompt 1: 25 条
  Prompt 3: 25 条
  Prompt 7: 25 条
  Prompt 9: 25 条
  Prompt 10: 25 条
  Prompt 11: 25 条
  本轮共 275 条待标注，还需 1118 条
  ✓ [283] rag_query            | 连续三天打卡时间卡在八点五十八分，这会被直接判定为迟到早退吗？
